----------------------------------------
      (450000, 3),
      (450000, 3),
      (450000, 52),
      (0, 3),
      (0, 1230),
      (0, 3),
      (600000, 7),
      (600000, 1),
      (600000, 0),
      (150000, 1629),
      (150000, 3),
      (150000, 292),
      (300000, 105),
      (300000, 3),
      (300000, 557),
      (50000, 10271),
      (50000, 332),
      (50000, 2),
      (200000, 289),
      (200000, 3),
      (200000, 289),
      (500000, 176),
      (500000, 31),
      (500000, 3),
      (350000, 940),
      (350000, 2),
      (350000, 210),
      (650000, 2),
      (650000, 74),
      (650000, 15),
      (100000, 1263),
      (100000, 165),
      (100000, 1),
      (400000, 2),
      (400000, 121),
      (400000, 584),
      (550000, 6),
      (550000, 1130),
      (550000, 1130),
      (250000, 658),
      (250000, 3),
      (250000, 3),
      (700000, 4),
      (700000, 0),
      (700000, 49)
--------------------------------------------------
